ID	genome_ID	Group	Genome_size	Gene_number	Coding_density	GC_content	N_ARSC	C_ARSC	Ortholog_family_number	Gene_number_per_family	Regulatory_gene_number	Regulatory_gene_ratio
GNM1431	Pseudorhodobacter_ferrugineus_DSM5888	NA	3430274	3431	90	58.5	0.339997491	2.81384527	2952	1.162262873		
GNM1089	Rhodobacter_sp_SW2	other Roseobacter	3514342	3413	90.9	65.1	0.343399832	2.784556802	2931	1.164448994	160	0.046879578
GNM1080	Rhodobacter_sphaeroides_ATCC_17025	other Roseobacter	4557127	4504	89	68.2	0.377308448	2.806761106	3409	1.321208566	205	0.045515098
GNM1306	Gemmobacter_nectariphilus_DSM15620	other Roseobacter	4523636	4404	90.4	66.2	0.359313527	2.789837102	3316	1.328106152	235	0.053360581
GNM1382	Nioella_nitratireducens_SSW136	outgroup	4015438	3912	90.4	63.6	0.350410191	2.812439827	3293	1.187974491	206	0.052658487
GNM1383	Nioella_sediminis_JS7-11	outgroup	3958683	3962	90.9	63.4	0.345715084	2.814634622	3228	1.227385378	218	0.055022716
GNM425	Jannaschia_aquimarina_DSM_28248	outgroup	4117706	4094	90.2	66.4	0.355980819	2.786449688	3438	1.19080861	185	0.04518808
GNM742	Jannaschia_pohangensis_DSM_19073	outgroup	3733035	3767	91.5	65.5	0.346157812	2.790044658	3256	1.156941032	176	0.046721529
GNM1232	Thalassobacter_stenotrophicus_DSM_16310	outgroup	3598816	3620	91.5	58.6	0.337520345	2.808964244	3009	1.203057494	157	0.043370166
GNM694	Dinoroseobacter shibae DFL12	outgroup	4417868	4283	90	65.5	0.343193648	2.808400358	3331	1.28580006	206	0.048097128
GNM1024	Rhodobacterales bacterium HTCC2083	PRC members	4018415	4118	89.8	53.3	0.334532368	2.853445674	3302	1.247122956	201	0.048810102
GNM1031	Rhodobacteraceae_bacterium_SB2	PRC members	3636317	3527	88.7	50.5	0.334767006	2.880104821	2782	1.267792955	153	0.043379643
GNM1017	Rhodobacteraceae_bacterium_HIMB11	PRC members	3098747	3187	90.6	49.7	0.338775996	2.88607477	2674	1.19184742	133	0.041732036
GNM962	Planktomarina temperata RCA23	PRC members	3288122	3205	90.4	53.6	0.339962387	2.857292524	2516	1.273847377	138	0.043057722
GNM575	Roseobacter sp. LE17	PRC members	2967934	2996	91	54.4	0.340024382	2.852859282	2482	1.207091056	131	0.043724967
GNM1025	Rhodobacterales bacterium HTCC2150	PRC members	3582902	3534	90.7	49.1	0.333199208	2.870675162	3037	1.163648337	169	0.047821166
GNM1055	Rhodobacterales bacterium HTCC2255	PRC members	2296803	2202	92	36.9	0.328145962	2.950988906	1958	1.124616956	103	0.046775658
GNM225	LSUCC0031	sister group	2983614	2914	91.7	61.8	0.351339324	2.799504542	2612	1.115620214	137	0.047014413
GNM565	Roseicyclus_mahoneyensis_DSM_16097	sister group	4030284	3951	91.1	65.3	0.349879845	2.792183745	3313	1.192574706	191	0.048342192
GNM1107	Roseibacterium_elongatum_DFL-43	sister group	3555109	3543	89.6	65.7	0.352601902	2.797127794	3022	1.172402383	134	0.037821056
GNM746	Jannaschia sp. CCS1	sister group	4404049	4358	90.4	62.2	0.335130876	2.801813562	3492	1.247995418	237	0.054382744
GNM747	Jannaschia_sp_EhC01	sister group	4579986	4562	90.7	62.7	0.331690319	2.802354814	3547	1.286157316	225	0.049320473
