OGOrthogroup	GNM1107	GNM1232	GNM1382	GNM1383	GNM1670	GNM1683	GNM225	GNM3434	GNM356	GNM358	GNM3890	GNM425	GNM4440	GNM50571	GNM565	GNM694	GNM742	GNM746	GNM747
OG0000031	2	3	5	2	2	4	3	2	3	2	2	4	3	2	4	5	4	5	5
OG0000032	2	3	3	4	1	1	2	1	1	1	1	2	1	1	5	2	2	3	3
OG0000033	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0
OG0000034	4	3	2	2	2	2	2	2	2	2	2	4	2	2	6	1	2	5	6
OG0000035	4	2	4	4	1	1	1	1	1	1	1	4	1	1	1	4	4	4	3
OG0000036	1	4	4	3	1	0	2	2	0	2	0	2	0	2	4	7	1	2	2
OG0000037	4	3	2	3	1	2	4	1	2	1	1	2	2	1	5	2	4	3	4
OG0000038	0	1	2	0	0	2	0	0	0	0	0	0	0	1	1	3	0	4	0
OG0000039	3	2	3	2	0	0	1	0	0	0	0	3	0	0	2	3	3	2	2
OG0000040	0	1	3	6	0	0	0	0	0	0	0	3	0	0	3	0	1	3	3
OG0000041	3	3	3	3	1	1	3	1	2	1	1	6	3	1	7	7	4	5	7
OG0000042	2	2	7	4	0	0	2	0	0	0	0	2	0	0	3	3	2	2	2
OG0000043	2	1	2	4	1	0	3	1	1	1	1	2	1	0	4	2	4	4	6
OG0000044	2	1	3	2	1	1	1	1	1	1	1	3	3	2	1	3	3	3	2
OG0000045	1	3	1	1	1	1	1	1	1	1	2	4	1	3	1	1	3	3	3
OG0000046	2	7	2	4	1	2	3	1	1	1	1	5	1	1	5	7	3	6	5
OG0000047	2	5	1	3	1	1	1	2	1	1	1	8	1	1	3	5	10	9	3
OG0000048	2	2	3	1	0	0	1	0	0	0	0	3	0	0	3	4	3	1	2
OG0000049	2	3	4	4	3	4	3	4	2	2	1	1	1	2	6	2	2	7	6
OG0000050	0	3	7	1	1	1	2	1	0	1	3	7	0	2	2	10	3	1	1
OG0000051	2	3	3	6	1	1	2	3	3	1	2	6	3	3	3	5	3	5	7
OG0000052	1	3	2	3	2	1	2	1	4	1	2	2	4	1	4	4	2	8	7
OG0000053	1	1	1	3	1	0	3	1	1	1	1	2	1	0	3	2	4	4	5
OG0000054	2	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	1	4	1
OG0000055	2	2	1	2	3	3	1	3	2	2	4	8	3	5	4	5	5	8	5
OG0000056	3	2	5	6	1	1	4	1	2	1	2	2	2	1	4	2	3	4	3
OG0000057	3	2	3	3	1	1	3	1	1	1	1	4	2	1	6	7	4	4	6
OG0000058	2	3	3	5	2	2	3	4	4	2	3	3	4	4	5	6	3	5	8
OG0000059	3	2	2	2	2	2	3	2	3	3	3	3	3	2	3	3	3	2	3
OG0000060	2	5	4	1	1	1	1	3	1	1	1	1	1	4	1	6	2	2	2
OG0000061	2	3	2	3	2	2	2	3	0	2	0	2	0	2	2	2	2	2	2
OG0000062	0	2	1	1	0	0	0	0	0	0	0	2	0	0	1	1	2	9	5
OG0000063	2	2	3	2	0	0	1	0	0	0	0	3	0	0	2	3	3	2	2
OG0000064	0	4	4	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0
OG0000065	4	3	2	3	2	0	2	0	0	0	2	1	3	0	2	0	1	1	2
OG0000066	1	1	3	3	2	2	2	2	2	2	2	3	2	2	2	2	1	2	2
OG0000067	2	4	2	3	3	2	3	2	2	2	2	3	2	2	2	6	1	4	1
OG0000068	1	4	2	4	2	2	2	2	2	3	2	1	2	2	2	2	2	3	4
OG0000069	2	2	2	4	0	0	0	0	2	0	0	5	2	0	0	0	5	4	3
OG0000070	1	2	2	3	2	2	1	2	2	2	3	6	2	2	3	3	2	4	3
OG0000071	2	2	2	3	3	2	2	2	4	1	4	3	4	3	2	3	2	2	4
OG0000072	1	1	1	1	0	3	0	0	0	0	0	0	0	0	1	4	1	0	0
OG0000073	3	2	4	5	2	2	2	2	1	2	1	3	1	2	3	3	5	4	4
OG0000074	0	6	1	2	1	2	3	1	1	1	0	5	1	1	5	5	3	5	4
OG0000075	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	3	3
OG0000076	1	3	1	3	0	0	4	0	0	0	0	5	0	0	2	3	4	8	6
OG0000077	3	0	3	2	3	1	7	3	1	1	3	2	1	5	3	1	2	3	2
OG0000078	1	1	2	5	1	1	1	1	1	1	1	2	2	1	2	2	2	3	3
OG0000079	1	4	4	2	1	1	1	3	1	1	1	2	1	3	1	7	1	1	1
OG0000080	2	3	2	3	2	2	3	2	2	2	2	2	2	3	2	1	2	4	3
OG0000081	0	1	4	3	0	0	0	0	0	0	0	1	0	0	1	0	0	4	3
OG0000082	2	2	3	3	2	3	4	5	5	2	3	1	3	3	2	2	1	2	4
OG0000083	3	2	1	1	2	4	1	2	3	2	2	3	3	2	4	6	2	2	2
OG0000084	2	2	4	7	1	1	1	3	4	1	3	2	3	2	2	1	2	2	3
OG0000085	3	1	3	5	2	1	3	2	2	1	3	1	2	1	3	2	1	3	3
OG0000086	8	7	13	15	1	1	4	1	1	1	0	9	1	2	7	3	6	6	6
OG0000087	1	1	2	5	0	0	2	0	1	0	0	1	0	0	2	0	1	3	3
OG0000088	2	4	1	2	1	1	4	2	4	2	5	2	5	1	3	1	2	1	2
OG0000089	2	1	3	3	1	1	2	1	1	1	1	1	1	1	3	1	2	3	3
OG0000090	2	2	2	3	3	2	2	2	3	2	3	2	4	2	2	2	2	3	3
OG0000091	2	4	3	4	2	1	1	2	2	1	2	2	2	2	1	3	3	3	5
OG0000092	3	0	4	6	2	2	2	2	1	2	1	0	1	2	5	3	1	6	5
OG0000093	4	2	3	0	2	2	2	2	2	2	2	2	2	2	7	2	0	0	0
OG0000094	0	0	4	1	1	1	2	1	1	1	0	2	1	1	2	1	2	1	3
OG0000095	4	1	2	2	1	4	4	3	1	3	1	2	1	2	1	2	3	1	2
OG0000096	1	2	1	1	2	2	1	2	2	2	2	1	3	2	1	1	2	1	1
OG0000097	2	3	4	7	0	0	2	0	0	0	0	0	0	0	2	1	2	3	4
OG0000098	1	1	2	3	1	1	1	1	1	1	1	3	1	1	2	1	3	6	4
OG0000099	2	4	4	2	2	3	2	2	1	2	1	3	1	2	4	4	2	2	2
OG0000100	3	2	2	4	2	2	2	2	2	2	2	1	2	2	2	2	1	2	3
OG0000101	1	1	2	1	0	0	2	0	0	1	0	2	0	0	2	2	1	1	1
OG0000102	0	0	1	1	0	3	1	0	0	0	0	0	2	0	1	6	1	0	0
OG0000103	2	2	2	4	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2
OG0000104	2	2	2	2	2	2	2	2	2	2	4	2	3	2	2	2	2	2	2
OG0000105	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	0	4	0
OG0000106	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	3	4	2	2
OG0000107	2	3	2	2	1	1	1	1	1	1	1	2	1	1	1	4	3	3	3
OG0000108	3	1	2	3	1	1	2	1	5	1	3	2	5	1	2	2	2	2	3
OG0000109	1	3	1	2	1	1	2	1	1	1	1	3	1	1	1	5	1	3	1
OG0000110	3	1	4	3	2	2	2	2	3	2	2	2	3	2	2	1	2	2	3
OG0000111	3	2	3	2	2	3	2	2	2	2	2	4	2	3	2	3	2	2	5
OG0000112	2	2	4	3	0	0	2	0	0	0	0	0	0	0	1	2	1	1	1
OG0000113	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
OG0000114	1	1	1	5	1	1	0	1	1	2	1	0	1	1	1	1	1	2	2
OG0000115	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000116	3	2	3	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3
OG0000117	1	2	2	3	1	1	2	1	1	1	1	1	1	1	2	3	1	2	2
OG0000118	1	1	2	1	2	3	1	3	1	1	1	1	1	3	1	2	2	1	1
OG0000119	0	3	2	0	0	1	0	0	0	0	0	2	0	0	1	4	2	1	0
OG0000120	3	0	2	3	0	0	2	1	1	0	1	2	1	1	4	2	1	3	4
OG0000121	1	0	2	2	0	0	0	0	1	0	1	3	1	0	1	4	2	7	5
OG0000122	0	1	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2
OG0000123	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3
OG0000124	3	0	3	3	2	1	3	2	0	1	0	5	0	2	3	0	3	4	2
OG0000125	1	3	2	2	1	3	1	1	2	1	1	5	2	1	2	3	4	3	2
OG0000126	1	1	2	0	1	1	0	1	1	1	1	2	1	1	0	3	1	1	1
OG0000127	3	2	2	2	1	1	1	1	2	1	1	0	1	1	2	2	1	2	2
OG0000128	1	2	3	3	2	2	2	1	1	2	1	2	1	2	2	3	2	2	3
OG0000129	2	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	2	2
OG0000130	0	1	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
OG0000131	1	1	1	3	0	0	1	0	0	0	0	1	0	0	2	1	1	1	2
OG0000132	1	3	3	1	1	1	1	3	1	1	1	1	1	3	1	5	2	2	2
OG0000133	3	1	2	2	1	1	1	1	1	1	1	2	1	1	2	3	2	2	2
OG0000134	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000135	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000136	1	2	1	1	2	2	1	2	2	2	2	1	3	2	1	1	2	1	1
OG0000137	1	1	2	1	1	1	3	1	2	1	2	1	2	1	3	3	1	2	3
OG0000138	2	2	2	2	0	0	2	0	0	0	0	2	0	0	2	2	2	2	2
OG0000139	2	1	3	3	1	1	1	1	1	1	1	2	1	1	2	1	3	2	2
OG0000140	3	2	2	4	1	1	2	1	2	1	1	1	3	1	0	1	1	1	2
OG0000141	1	0	3	4	2	3	1	3	1	3	3	2	2	3	2	3	2	4	3
OG0000142	3	2	4	4	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2
OG0000143	2	2	2	3	1	1	3	1	2	1	1	2	2	1	3	2	2	4	1
OG0000144	1	3	1	5	1	1	1	3	3	1	2	1	3	3	2	4	2	3	6
OG0000145	1	2	3	1	1	1	1	4	1	1	1	1	1	3	1	5	2	2	2
OG0000146	0	4	1	3	1	1	0	1	2	1	1	2	2	1	2	3	1	1	2
OG0000147	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0
OG0000148	3	2	1	2	1	1	2	1	2	1	1	2	2	1	3	5	4	3	4
OG0000149	2	2	2	1	1	1	1	2	0	0	0	2	0	1	1	1	2	2	4
OG0000150	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2
OG0000151	1	2	2	2	1	1	0	1	2	1	1	2	2	1	0	1	3	2	2
OG0000152	2	1	0	1	1	2	2	2	2	2	2	3	1	2	5	2	3	2	0
OG0000153	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1
OG0000154	2	1	1	1	2	2	2	2	2	2	2	0	2	2	0	1	0	1	1
OG0000155	0	0	4	1	1	1	2	1	1	1	0	1	1	1	1	1	2	1	2
OG0000157	1	1	1	2	1	2	1	1	1	1	1	3	1	1	1	2	1	3	2
OG0000158	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1
OG0000159	2	3	1	2	2	2	2	2	2	2	2	2	2	1	2	4	1	1	2
OG0000160	2	1	2	2	2	2	2	2	2	2	2	0	2	1	2	3	0	1	2
OG0000161	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1
OG0000162	1	3	2	2	1	1	1	1	2	1	1	3	2	0	3	3	3	3	4
OG0000163	1	2	3	3	2	2	2	1	1	2	1	2	1	2	2	2	2	2	3
OG0000164	2	4	2	2	2	2	2	2	2	2	2	4	2	2	1	2	4	2	1
OG0000165	3	2	3	3	2	2	3	2	3	2	2	2	3	2	3	2	2	2	2
OG0000166	1	3	3	1	1	1	1	3	1	1	1	0	1	4	1	5	0	1	1
OG0000167	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
OG0000168	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2
OG0000169	2	1	2	2	1	1	1	1	3	1	2	1	3	1	2	1	1	2	2
OG0000170	3	3	1	2	2	2	2	2	2	2	2	2	2	2	4	4	2	3	2
OG0000171	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1
OG0000172	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
OG0000173	1	2	1	2	1	1	0	1	1	1	1	2	1	1	1	1	1	2	1
OG0000174	1	1	2	2	0	0	1	0	0	0	0	2	0	0	1	1	1	4	5
OG0000175	2	1	1	2	1	1	1	1	1	1	1	3	1	1	2	2	2	0	5
OG0000176	1	3	1	2	0	0	0	0	0	0	0	1	0	0	1	3	1	1	1
OG0000177	1	1	2	3	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1
OG0000178	1	2	2	2	1	0	2	1	1	2	1	2	1	0	1	2	2	1	2
OG0000179	3	3	2	2	3	3	3	3	3	3	3	2	3	3	2	3	2	2	3
OG0000180	2	2	2	2	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2
OG0000181	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2
OG0000182	0	1	0	1	1	2	1	1	1	1	1	2	1	1	0	0	2	1	0
OG0000183	1	0	3	4	0	0	0	0	1	0	0	2	1	0	1	2	1	3	2
OG0000184	2	0	1	2	1	1	1	1	1	1	1	0	1	1	3	2	0	3	2
OG0000185	0	4	1	1	1	1	3	1	1	1	1	1	1	1	3	2	1	1	1
OG0000186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000187	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000188	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000189	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	1	1
OG0000190	2	2	2	2	2	2	1	2	2	2	3	2	3	2	1	2	2	2	2
OG0000191	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0
OG0000192	1	2	1	2	3	1	4	2	2	2	1	1	2	1	2	1	2	2	1
OG0000193	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	1	2
OG0000194	0	2	2	1	1	1	1	1	0	1	0	2	0	1	1	3	2	0	0
OG0000195	1	1	1	1	1	1	3	1	1	1	1	2	1	1	2	2	2	3	2
OG0000196	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
OG0000197	3	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	1	3
OG0000198	1	5	1	1	3	1	1	4	0	0	1	0	1	1	2	2	1	1	0
OG0000199	1	0	0	4	1	1	0	1	3	2	2	1	3	1	1	1	1	0	1
OG0000200	1	0	2	1	0	0	1	0	0	0	0	1	0	0	2	1	1	3	2
OG0000201	3	1	3	3	1	1	0	1	1	1	3	3	2	1	1	2	1	2	3
OG0000202	0	2	1	3	1	1	1	1	1	1	1	2	1	1	1	0	2	1	0
OG0000203	1	1	3	1	1	1	2	1	2	1	2	1	2	1	2	1	1	1	1
OG0000204	0	0	2	1	0	0	1	0	0	0	0	3	0	0	1	0	1	3	0
OG0000205	1	2	1	2	1	1	1	1	1	0	1	2	1	1	1	1	2	1	1
OG0000206	0	1	1	3	1	1	1	2	1	0	1	1	1	0	2	0	1	3	2
OG0000207	2	1	4	2	2	2	3	2	2	2	2	0	2	2	3	1	0	2	2
OG0000208	1	2	2	1	1	1	1	2	1	1	1	1	1	2	1	3	1	1	1
OG0000209	0	1	1	1	2	2	1	2	3	2	2	1	2	2	1	1	1	3	3
OG0000210	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0
OG0000211	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2
OG0000212	1	1	2	2	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1
OG0000213	1	1	3	2	3	3	1	3	2	2	1	1	2	2	1	2	1	1	1
OG0000214	1	2	0	3	1	1	1	0	1	0	0	1	1	0	1	1	1	3	3
OG0000215	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
OG0000216	3	2	2	3	1	1	2	1	1	1	1	3	1	1	3	3	3	2	3
OG0000218	1	3	1	1	0	0	1	0	0	0	0	2	0	0	1	2	2	1	1
OG0000219	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1
OG0000220	1	2	2	1	1	1	1	3	1	1	1	1	1	3	1	3	1	1	1
OG0000221	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2
OG0000222	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
OG0000223	2	2	2	3	1	1	1	1	2	1	2	2	2	1	2	3	3	4	4
OG0000224	1	1	1	3	0	0	1	0	1	0	1	0	1	0	1	3	2	2	1
OG0000225	1	1	1	1	1	1	1	1	0	1	0	2	0	1	1	2	2	1	0
OG0000226	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	4	2	1	1
OG0000227	3	0	2	2	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2
OG0000228	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	1	2
OG0000229	2	1	2	2	1	2	2	3	0	1	1	2	0	2	2	2	2	1	2
OG0000230	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1
OG0000231	1	2	0	1	0	0	1	0	0	0	0	1	0	0	2	1	1	1	1
OG0000232	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	0	0	2
OG0000233	1	4	1	1	1	1	2	1	0	1	0	1	0	1	3	0	1	0	4
OG0000234	1	2	1	1	1	1	2	2	5	1	2	1	5	2	2	2	2	3	3
OG0000235	2	1	3	3	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2
OG0000236	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	4	1	1
OG0000237	2	1	2	1	1	1	1	1	1	1	1	5	1	1	2	2	1	2	2
OG0000238	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1
OG0000239	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2
OG0000240	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0000241	1	1	3	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1
OG0000242	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
OG0000243	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
OG0000244	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
OG0000245	1	0	2	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1
OG0000246	0	2	3	1	0	0	0	2	0	0	0	0	0	2	0	4	1	0	1
OG0000247	3	0	2	2	2	2	2	2	0	2	1	2	0	2	2	1	2	2	3
OG0000248	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000249	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	1	1	2	2
OG0000250	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000251	1	1	1	1	2	2	1	2	2	2	2	4	2	2	1	1	2	3	1
OG0000252	1	2	2	1	1	1	1	3	1	1	1	1	1	3	1	4	1	2	1
OG0000253	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
OG0000254	2	1	2	2	1	1	2	1	1	1	1	2	2	1	3	1	2	1	3
OG0000255	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
OG0000256	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000257	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2
OG0000258	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2
OG0000259	2	1	2	1	1	1	2	1	1	1	1	3	1	1	2	2	1	4	1
OG0000260	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	3	1	1	1
OG0000261	1	2	2	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
OG0000262	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2
OG0000263	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	0
OG0000264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000265	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2
OG0000266	0	2	1	0	0	0	0	2	0	0	0	1	0	2	0	5	0	0	1
OG0000267	1	1	1	0	0	1	0	1	0	0	0	3	0	0	2	3	0	2	2
OG0000268	2	0	1	1	0	0	2	0	3	0	0	1	3	0	3	1	1	3	3
OG0000269	0	1	1	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1
OG0000270	2	2	1	1	1	1	2	1	1	1	1	2	1	1	2	2	3	3	3
OG0000271	1	0	0	0	0	0	0	0	0	0	0	6	0	0	2	2	3	2	3
OG0000272	1	3	2	4	3	3	3	3	3	3	3	0	3	3	3	2	0	3	3
OG0000273	1	1	1	1	1	1	1	1	2	1	1	0	2	1	1	1	0	3	2
OG0000274	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
OG0000275	2	1	2	1	1	1	2	1	1	1	1	3	1	1	3	3	2	1	2
OG0000276	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG0000277	1	1	1	2	1	1	1	1	1	1	1	1	1	1	4	2	1	3	1
OG0000278	0	2	1	2	1	1	1	1	1	0	1	2	0	2	0	0	3	4	1
OG0000279	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	1	1
OG0000280	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
OG0000281	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0000282	3	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1
OG0000283	2	1	2	3	1	1	1	1	1	1	3	3	2	1	1	2	1	1	2
OG0000284	2	1	3	2	2	2	1	2	1	2	2	0	1	2	1	1	0	1	1
OG0000285	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	2	2
OG0000286	4	3	1	1	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2
OG0000287	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1
OG0000289	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2
OG0000290	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1
OG0000291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000292	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	2	1	1	1
OG0000293	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	3	1	1	1
OG0000294	1	0	1	2	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1
OG0000295	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1
OG0000296	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2
OG0000297	2	1	2	2	1	0	0	0	1	0	1	1	1	0	0	3	2	1	1
OG0000298	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
OG0000300	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	1
OG0000301	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
OG0000302	1	1	1	2	0	0	0	0	0	0	0	2	0	0	1	2	1	3	2
OG0000303	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
OG0000305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
OG0000306	1	1	2	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1
OG0000308	1	2	1	1	2	2	0	2	1	2	3	2	2	2	1	2	1	3	1
OG0000309	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
OG0000310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
OG0000312	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2
OG0000313	2	2	2	2	0	0	2	1	0	0	0	2	0	1	2	1	2	2	2
OG0000314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000315	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1
OG0000316	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	2	0
