child	parent	OG	type	number
GNM425	node32	OG0000295	plus	2	1
GNM425	node32	OG0000296	add	2	0
GNM425	node32	OG0000297	nochange	1	1
GNM425	node32	OG0000298	nochange	1	1
GNM425	node32	OG0000299	nochange	1	1
GNM425	node32	OG0000300	nochange	1	1
GNM425	node32	OG0000301	nochange	1	1
GNM425	node32	OG0000302	plus	2	1
GNM425	node32	OG0000303	nochange	1	1
GNM425	node32	OG0000304	nochange	1	1
GNM425	node32	OG0000305	nochange	1	1
GNM425	node32	OG0000306	nochange	1	1
GNM425	node32	OG0000308	nochange	2	2
GNM425	node32	OG0000309	nochange	1	1
GNM425	node32	OG0000310	nochange	1	1
GNM425	node32	OG0000311	nochange	1	1
GNM425	node32	OG0000312	nochange	1	1
GNM425	node32	OG0000313	nochange	2	2
GNM425	node32	OG0000314	nochange	1	1
GNM425	node32	OG0000315	plus	2	1
GNM425	node32	OG0000317	nochange	1	1
GNM425	node32	OG0000318	nochange	2	2
GNM425	node32	OG0000319	nochange	1	1
GNM425	node32	OG0000320	nochange	1	1
GNM425	node32	OG0000321	nochange	2	2
GNM425	node32	OG0000322	nochange	2	2
GNM425	node32	OG0000323	plus	3	2
GNM425	node32	OG0000324	nochange	1	1
GNM425	node32	OG0000327	nochange	2	2
GNM425	node32	OG0000328	nochange	1	1
GNM425	node32	OG0000329	nochange	1	1
GNM425	node32	OG0000330	nochange	1	1
GNM425	node32	OG0000331	del	0	1
GNM425	node32	OG0000332	nochange	1	1
GNM425	node32	OG0000333	nochange	1	1
GNM425	node32	OG0000335	nochange	1	1
GNM425	node32	OG0000336	add	1	0
GNM425	node32	OG0000337	nochange	1	1
GNM425	node32	OG0000338	nochange	1	1
GNM425	node32	OG0000339	nochange	1	1
GNM425	node32	OG0000340	nochange	1	1
GNM425	node32	OG0000341	plus	2	1
GNM425	node32	OG0000342	add	4	0
GNM425	node32	OG0000343	nochange	1	1
GNM425	node32	OG0000344	nochange	1	1
GNM425	node32	OG0000345	nochange	1	1
GNM425	node32	OG0000346	del	0	1
GNM425	node32	OG0000347	nochange	1	1
GNM425	node32	OG0000348	nochange	2	2
GNM425	node32	OG0000349	nochange	1	1
GNM425	node32	OG0000350	nochange	1	1
GNM425	node32	OG0000351	nochange	1	1
GNM425	node32	OG0000352	del	0	1
GNM425	node32	OG0000355	nochange	1	1
GNM425	node32	OG0000356	nochange	1	1
GNM425	node32	OG0000357	nochange	1	1
GNM425	node32	OG0000358	nochange	1	1
GNM425	node32	OG0000359	del	0	1
GNM425	node32	OG0000360	plus	3	2
GNM425	node32	OG0000361	nochange	1	1
GNM425	node32	OG0000362	plus	2	1
GNM425	node32	OG0000363	nochange	1	1
GNM425	node32	OG0000364	nochange	1	1
GNM425	node32	OG0000366	nochange	1	1
GNM425	node32	OG0000367	nochange	1	1
GNM425	node32	OG0000368	nochange	1	1
GNM425	node32	OG0000369	nochange	1	1
GNM425	node32	OG0000370	nochange	1	1
GNM425	node32	OG0000371	nochange	1	1
GNM425	node32	OG0000374	nochange	1	1
GNM425	node32	OG0000375	nochange	2	2
GNM425	node32	OG0000376	add	1	0
GNM425	node32	OG0000377	nochange	1	1
GNM425	node32	OG0000378	del	0	1
GNM425	node32	OG0000380	nochange	1	1
GNM425	node32	OG0000381	nochange	1	1
GNM425	node32	OG0000382	nochange	1	1
GNM425	node32	OG0000383	nochange	1	1
GNM425	node32	OG0000384	nochange	1	1
GNM425	node32	OG0000386	nochange	1	1
GNM425	node32	OG0000387	plus	2	1
GNM425	node32	OG0000388	nochange	1	1
GNM425	node32	OG0000389	nochange	1	1
GNM425	node32	OG0000390	nochange	1	1
GNM425	node32	OG0000391	nochange	1	1
GNM425	node32	OG0000392	nochange	1	1
GNM425	node32	OG0000393	nochange	1	1
GNM425	node32	OG0000394	nochange	1	1
GNM425	node32	OG0000395	nochange	1	1
GNM425	node32	OG0000396	nochange	2	2
GNM425	node32	OG0000398	del	0	1
GNM425	node32	OG0000399	add	4	0
GNM425	node32	OG0000400	plus	2	1
GNM425	node32	OG0000401	plus	2	1
GNM425	node32	OG0000402	plus	3	1
GNM425	node32	OG0000403	nochange	1	1
GNM425	node32	OG0000404	plus	2	1
GNM425	node32	OG0000405	nochange	1	1
GNM425	node32	OG0000406	nochange	1	1
GNM425	node32	OG0000407	nochange	1	1
GNM425	node32	OG0000408	nochange	1	1
GNM425	node32	OG0000409	nochange	1	1
GNM425	node32	OG0000410	plus	2	1
GNM425	node32	OG0000411	nochange	1	1
GNM425	node32	OG0000412	nochange	1	1
GNM425	node32	OG0000413	nochange	1	1
GNM425	node32	OG0000414	nochange	1	1
GNM425	node32	OG0000415	nochange	1	1
GNM425	node32	OG0000416	nochange	1	1
GNM425	node32	OG0000417	nochange	1	1
GNM425	node32	OG0000418	plus	3	1
GNM425	node32	OG0000419	nochange	1	1
GNM425	node32	OG0000420	plus	3	2
GNM425	node32	OG0000421	add	4	0
GNM425	node32	OG0000422	del	0	1
GNM425	node32	OG0000423	nochange	1	1
GNM425	node32	OG0000424	nochange	1	1
GNM425	node32	OG0000425	nochange	1	1
GNM425	node32	OG0000426	nochange	1	1
GNM425	node32	OG0000427	nochange	1	1
GNM425	node32	OG0000428	nochange	1	1
GNM425	node32	OG0000429	nochange	1	1
GNM425	node32	OG0000431	nochange	1	1
GNM425	node32	OG0000432	nochange	1	1
GNM425	node32	OG0000433	nochange	1	1
GNM425	node32	OG0000434	nochange	1	1
GNM425	node32	OG0000435	nochange	1	1
GNM425	node32	OG0000436	nochange	1	1
GNM425	node32	OG0000437	nochange	2	2
GNM425	node32	OG0000438	plus	2	1
GNM425	node32	OG0000439	add	1	0
GNM425	node32	OG0000440	nochange	1	1
GNM425	node32	OG0000441	nochange	1	1
GNM425	node32	OG0000442	nochange	1	1
GNM425	node32	OG0000443	nochange	1	1
GNM425	node32	OG0000444	nochange	1	1
GNM425	node32	OG0000445	del	0	1
GNM425	node32	OG0000446	nochange	1	1
GNM425	node32	OG0000447	nochange	2	2
GNM425	node32	OG0000448	nochange	1	1
GNM425	node32	OG0000449	nochange	1	1
GNM425	node32	OG0000450	del	0	1
GNM425	node32	OG0000451	nochange	1	1
GNM425	node32	OG0000452	nochange	1	1
GNM425	node32	OG0000453	nochange	1	1
GNM425	node32	OG0000454	nochange	1	1
GNM425	node32	OG0000455	nochange	1	1
GNM425	node32	OG0000456	plus	2	1
GNM425	node32	OG0000457	nochange	1	1
GNM425	node32	OG0000458	nochange	1	1
GNM425	node32	OG0000459	plus	2	1
GNM425	node32	OG0000460	nochange	1	1
GNM425	node32	OG0000461	nochange	1	1
GNM425	node32	OG0000463	nochange	1	1
GNM425	node32	OG0000464	nochange	2	2
GNM425	node32	OG0000465	nochange	1	1
GNM425	node32	OG0000466	nochange	1	1
GNM425	node32	OG0000467	plus	2	1
GNM425	node32	OG0000468	nochange	1	1
GNM425	node32	OG0000469	nochange	1	1
GNM425	node32	OG0000470	add	1	0
GNM425	node32	OG0000471	plus	2	1
GNM425	node32	OG0000472	nochange	1	1
GNM425	node32	OG0000474	nochange	1	1
GNM425	node32	OG0000475	nochange	1	1
GNM425	node32	OG0000476	nochange	1	1
GNM425	node32	OG0000477	nochange	1	1
GNM425	node32	OG0000478	plus	2	1
GNM425	node32	OG0000479	nochange	1	1
GNM425	node32	OG0000480	nochange	1	1
GNM425	node32	OG0000481	plus	3	1
GNM425	node32	OG0000482	nochange	1	1
GNM425	node32	OG0000483	nochange	1	1
GNM425	node32	OG0000484	nochange	1	1
GNM425	node32	OG0000485	nochange	1	1
GNM425	node32	OG0000486	nochange	1	1
GNM425	node32	OG0000487	nochange	1	1
GNM425	node32	OG0000488	plus	2	1
GNM425	node32	OG0000489	nochange	1	1
GNM425	node32	OG0000491	nochange	1	1
GNM425	node32	OG0000492	del	0	1
GNM425	node32	OG0000493	nochange	1	1
GNM425	node32	OG0000494	nochange	1	1
GNM425	node32	OG0000495	nochange	1	1
GNM425	node32	OG0000497	nochange	1	1
GNM425	node32	OG0000498	nochange	1	1
GNM425	node32	OG0000499	nochange	1	1
GNM425	node32	OG0000500	nochange	1	1
GNM425	node32	OG0000501	nochange	1	1
GNM425	node32	OG0000502	nochange	1	1
GNM425	node32	OG0000503	nochange	1	1
GNM425	node32	OG0000504	minus	2	3
GNM425	node32	OG0000505	plus	2	1
GNM425	node32	OG0000506	nochange	1	1
GNM425	node32	OG0000507	nochange	1	1
GNM425	node32	OG0000508	plus	2	1
GNM425	node32	OG0000509	plus	2	1
GNM425	node32	OG0000510	nochange	1	1
GNM425	node32	OG0000512	nochange	1	1
GNM425	node32	OG0000513	nochange	1	1
GNM425	node32	OG0000514	nochange	1	1
GNM425	node32	OG0000515	nochange	1	1
GNM425	node32	OG0000516	nochange	1	1
GNM425	node32	OG0000518	nochange	1	1
GNM425	node32	OG0000519	nochange	1	1
GNM425	node32	OG0000520	nochange	1	1
GNM425	node32	OG0000521	nochange	1	1
GNM425	node32	OG0000522	nochange	1	1
GNM425	node32	OG0000523	nochange	1	1
GNM425	node32	OG0000524	nochange	1	1
GNM425	node32	OG0000525	nochange	1	1
GNM425	node32	OG0000526	nochange	1	1
GNM425	node32	OG0000527	nochange	1	1
GNM425	node32	OG0000528	nochange	1	1
GNM425	node32	OG0000529	nochange	1	1
GNM425	node32	OG0000530	nochange	1	1
GNM425	node32	OG0000531	nochange	1	1
GNM425	node32	OG0000532	nochange	1	1
GNM425	node32	OG0000533	nochange	2	2
GNM425	node32	OG0000534	nochange	1	1
GNM425	node32	OG0000535	nochange	1	1
GNM425	node32	OG0000536	nochange	1	1
GNM425	node32	OG0000537	nochange	1	1
GNM425	node32	OG0000538	nochange	1	1
GNM425	node32	OG0000539	nochange	1	1
GNM425	node32	OG0000540	nochange	1	1
GNM425	node32	OG0000541	nochange	1	1
GNM425	node32	OG0000542	nochange	1	1
GNM425	node32	OG0000543	nochange	1	1
GNM425	node32	OG0000544	nochange	1	1
GNM425	node32	OG0000545	nochange	1	1
GNM425	node32	OG0000546	nochange	1	1
GNM425	node32	OG0000547	nochange	1	1
GNM425	node32	OG0000548	nochange	1	1
GNM425	node32	OG0000549	nochange	1	1
GNM425	node32	OG0000550	nochange	1	1
GNM425	node32	OG0000551	nochange	1	1
GNM425	node32	OG0000552	nochange	1	1
GNM425	node32	OG0000553	nochange	1	1
GNM425	node32	OG0000554	del	0	1
GNM425	node32	OG0000555	nochange	1	1
GNM425	node32	OG0000556	nochange	1	1
GNM425	node32	OG0000557	nochange	1	1
GNM425	node32	OG0000558	nochange	1	1
GNM425	node32	OG0000559	nochange	1	1
GNM425	node32	OG0000560	nochange	1	1
GNM425	node32	OG0000561	nochange	1	1
GNM425	node32	OG0000562	nochange	1	1
GNM425	node32	OG0000563	nochange	1	1
GNM425	node32	OG0000564	nochange	1	1
GNM425	node32	OG0000565	nochange	1	1
GNM425	node32	OG0000566	nochange	1	1
GNM425	node32	OG0000567	nochange	1	1
GNM425	node32	OG0000568	nochange	1	1
GNM425	node32	OG0000569	nochange	1	1
GNM425	node32	OG0000570	nochange	1	1
GNM425	node32	OG0000571	nochange	1	1
GNM425	node32	OG0000572	nochange	1	1
GNM425	node32	OG0000573	nochange	1	1
GNM425	node32	OG0000574	nochange	1	1
GNM425	node32	OG0000575	nochange	1	1
GNM425	node32	OG0000576	nochange	1	1
GNM425	node32	OG0000577	nochange	1	1
GNM425	node32	OG0000578	nochange	1	1
GNM425	node32	OG0000579	nochange	1	1
GNM425	node32	OG0000580	nochange	1	1
GNM425	node32	OG0000581	del	0	1
GNM425	node32	OG0000582	nochange	1	1
GNM425	node32	OG0000583	nochange	1	1
GNM425	node32	OG0000584	nochange	1	1
GNM425	node32	OG0000585	del	0	1
GNM425	node32	OG0000586	nochange	1	1
GNM425	node32	OG0000587	plus	2	1
GNM425	node32	OG0000588	nochange	1	1
GNM425	node32	OG0000589	plus	3	1
GNM425	node32	OG0000590	nochange	1	1
GNM425	node32	OG0000591	nochange	1	1
GNM425	node32	OG0000592	nochange	1	1
GNM425	node32	OG0000593	nochange	1	1
GNM425	node32	OG0000594	nochange	1	1
GNM425	node32	OG0000595	nochange	1	1
GNM425	node32	OG0000596	nochange	1	1
GNM425	node32	OG0000597	del	0	1
GNM425	node32	OG0000598	plus	2	1
GNM425	node32	OG0000600	nochange	1	1
GNM425	node32	OG0000601	nochange	1	1
GNM425	node32	OG0000602	nochange	1	1
GNM425	node32	OG0000603	nochange	1	1
GNM425	node32	OG0000604	nochange	1	1
GNM425	node32	OG0000605	nochange	1	1
GNM425	node32	OG0000606	nochange	1	1
GNM425	node32	OG0000607	nochange	1	1
GNM425	node32	OG0000608	nochange	1	1
GNM425	node32	OG0000609	nochange	1	1
GNM425	node32	OG0000610	nochange	1	1
GNM425	node32	OG0000611	nochange	1	1
GNM425	node32	OG0000612	nochange	1	1
GNM425	node32	OG0000613	nochange	1	1
GNM425	node32	OG0000614	nochange	1	1
GNM425	node32	OG0000615	nochange	1	1
GNM425	node32	OG0000616	nochange	1	1
GNM425	node32	OG0000617	nochange	1	1
GNM425	node32	OG0000618	nochange	1	1
GNM425	node32	OG0000619	nochange	1	1
GNM425	node32	OG0000620	nochange	1	1
GNM425	node32	OG0000622	nochange	1	1
GNM425	node32	OG0000623	nochange	1	1
GNM425	node32	OG0000624	nochange	1	1
GNM425	node32	OG0000625	nochange	1	1
GNM425	node32	OG0000626	nochange	2	2
GNM425	node32	OG0000627	nochange	1	1
GNM425	node32	OG0000628	nochange	1	1
GNM425	node32	OG0000629	nochange	1	1
GNM425	node32	OG0000630	nochange	1	1
GNM425	node32	OG0000631	nochange	1	1
GNM425	node32	OG0000632	nochange	1	1
GNM425	node32	OG0000633	nochange	1	1
GNM425	node32	OG0000634	nochange	1	1
GNM425	node32	OG0000635	nochange	1	1
GNM425	node32	OG0000636	nochange	1	1
GNM425	node32	OG0000637	plus	2	1
GNM425	node32	OG0000638	nochange	1	1
GNM425	node32	OG0000639	nochange	1	1
GNM425	node32	OG0000640	nochange	1	1
GNM425	node32	OG0000641	nochange	1	1
GNM425	node32	OG0000642	nochange	1	1
GNM425	node32	OG0000643	nochange	1	1
GNM425	node32	OG0000644	nochange	1	1
GNM425	node32	OG0000645	nochange	1	1
GNM425	node32	OG0000646	nochange	1	1
GNM425	node32	OG0000647	nochange	1	1
GNM425	node32	OG0000648	nochange	1	1
GNM425	node32	OG0000649	nochange	1	1
GNM425	node32	OG0000650	nochange	1	1
GNM425	node32	OG0000651	nochange	1	1
GNM425	node32	OG0000652	nochange	1	1
GNM425	node32	OG0000653	nochange	1	1
GNM425	node32	OG0000654	nochange	1	1
GNM425	node32	OG0000655	nochange	1	1
GNM425	node32	OG0000656	nochange	1	1
GNM425	node32	OG0000657	nochange	1	1
GNM425	node32	OG0000658	nochange	1	1
GNM425	node32	OG0000659	nochange	1	1
GNM425	node32	OG0000660	nochange	1	1
GNM425	node32	OG0000661	nochange	1	1
GNM425	node32	OG0000662	nochange	1	1
GNM425	node32	OG0000663	nochange	1	1
GNM425	node32	OG0000664	nochange	1	1
GNM425	node32	OG0000665	add	1	0
GNM425	node32	OG0000666	nochange	1	1
GNM425	node32	OG0000667	nochange	1	1
GNM425	node32	OG0000668	del	0	1
GNM425	node32	OG0000669	nochange	1	1
GNM425	node32	OG0000670	nochange	1	1
GNM425	node32	OG0000671	nochange	1	1
GNM425	node32	OG0000672	nochange	1	1
GNM425	node32	OG0000673	nochange	1	1
GNM425	node32	OG0000674	nochange	1	1
GNM425	node32	OG0000675	nochange	1	1
GNM425	node32	OG0000676	nochange	1	1
GNM425	node32	OG0000677	nochange	1	1
GNM425	node32	OG0000678	nochange	1	1
GNM425	node32	OG0000679	nochange	1	1
GNM425	node32	OG0000680	nochange	1	1
GNM425	node32	OG0000681	nochange	1	1
GNM425	node32	OG0000682	nochange	1	1
GNM425	node32	OG0000683	nochange	1	1
GNM425	node32	OG0000684	nochange	1	1
GNM425	node32	OG0000685	nochange	1	1
GNM425	node32	OG0000686	nochange	1	1
GNM425	node32	OG0000687	nochange	1	1
GNM425	node32	OG0000688	nochange	1	1
GNM425	node32	OG0000689	nochange	1	1
GNM425	node32	OG0000690	nochange	1	1
