rank	type	sample	location	CHUG	LSUCC1028	LSUCC0246	LSUCC0387	HKCCA1288	FZCC0188	HKCCD6035	HKCCA1065	FZCC0069	RCA23	LE17	HTCC2083	HTCC2150	HTCC2255	SB2	HIMB11	SUM
-100	TARA	ERR598973	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0.002	0.001	0.007
-101	TARA	ERR599103	SAO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0.001	0	0.004
-102	TARA	ERR599017	SAO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0.001	0	0.004
-103	TARA	ERR599056	SAO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0	0.004
-104	TARA	ERR598984	SAO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-105	TARA	ERR599105	SAO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-106	TARA	ERR598960	IO	0.007	0	0	0.006	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-107	TARA	ERR599034	IO	0.007	0	0	0.006	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.002
-108	TARA	ERR599164	IO	0.003	0	0	0.002	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-109	TARA	ERR599021	IO	0.003	0	0	0.002	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-110	TARA	ERR599112	IO	0.002	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-111	TARA	ERR599037	IO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-112	TARA	ERR599088	IO	0.001	0	0.001	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-113	TARA	ERR599018	IO	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0.001	0.001	0.001	0.002	0.007
-114	TARA	ERR599110	IO	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0.001	0.001	0.001	0.002	0.007
-115	TARA	ERR598966	IO	0.001	0	0	0	0.001	0	0	0	0	0.002	0	0	0	0.001	0.004	0.042	0.05
-116	TARA	ERR598990	IO	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0.001	0.001	0	0.002	0.007
-117	TARA	ERR599143	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.003	0.038	0.045
-118	TARA	ERR599172	IO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-119	TARA	ERR598970	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-120	TARA	ERR599019	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0.001	0.001	0	0	0.005
-121	TARA	ERR598974	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.002	0.036	0.042
-122	TARA	ERR599138	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.005
-123	TARA	ERR599016	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.005
-124	TARA	ERR599025	IO	0.001	0	0	0	0	0	0	0	0	0.003	0	0	0.001	0.001	0	0.001	0.006
-125	TARA	ERR599031	IO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-126	TARA	ERR599028	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.002	0.036	0.042
-127	TARA	ERR599098	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.005
-128	TARA	ERR599062	IO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-129	TARA	ERR599023	IO	0.001	0	0	0	0	0	0	0	0	0.003	0	0	0.001	0.001	0	0.001	0.006
-130	TARA	ERR599054	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-131	TARA	ERR598972	IO	0.001	0	0	0	0	0	0	0	0	0.003	0	0	0.001	0.001	0	0.001	0.006
-132	TARA	ERR599150	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-133	TARA	ERR599045	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-134	TARA	ERR599139	IO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.005
-135	TARA	ERR599002	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.005
-136	TARA	ERR599011	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-137	TARA	ERR599109	IO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-138	TARA	ERR599167	IO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-139	TARA	ERR599074	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-140	TARA	ERR599058	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.007	0.012
-141	TARA	ERR599145	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.004
-142	TARA	ERR599141	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-143	TARA	ERR599075	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-144	TARA	ERR599158	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.015	0.019
-145	TARA	ERR598979	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.005
-146	TARA	ERR598949	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-147	TARA	ERR599082	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-148	TARA	ERR599102	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.015	0.018
-149	TARA	ERR598977	IO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-150	TARA	ERR599057	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.002	0.005
-151	TARA	ERR599012	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.005	0.008
-152	TARA	ERR599053	IO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-153	TARA	ERR599026	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.002	0.005
-154	TARA	ERR599146	IO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0.001	0.004
-155	TARA	ERR599130	IO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-156	TARA	ERR599013	IO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-157	TARA	ERR315862	MS	0.089	0.065	0.024	0	0	0	0	0	0	0.001	0	0	0	0.001	0.076	0	0.079
-158	TARA	ERR315861	MS	0.035	0	0.005	0.029	0.001	0	0	0	0	0.005	0.001	0.001	0.001	0.002	0.391	0.005	0.404
-159	TARA	ERR315858	MS	0.034	0	0.005	0.028	0.001	0	0	0	0	0.005	0.001	0	0.001	0.001	0.39	0.005	0.402
-160	TARA	ERR315860	MS	0.01	0	0	0.009	0	0	0	0	0	0.003	0.001	0.001	0.001	0.001	0.374	0.001	0.382
-161	TARA	ERR315859	MS	0.009	0	0	0.008	0	0	0	0	0	0.003	0.001	0	0.001	0.001	0.372	0.001	0.38
-162	TARA	ERR315857	MS	0.004	0	0	0.003	0	0	0	0	0	0.004	0.001	0.001	0.001	0.002	0.216	0.002	0.225
-163	TARA	ERR315863	MS	0.003	0	0	0.002	0	0	0	0	0	0.003	0	0	0.001	0.001	0.143	0.001	0.15
-164	TARA	ERR315856	MS	0.002	0	0	0.002	0.001	0	0	0	0	0.009	0.002	0.001	0.001	0.017	0.49	0.007	0.527
-165	TARA	ERR318619	MS	0.002	0	0	0.001	0.001	0	0	0	0	0.006	0.001	0.001	0.001	0.003	0.157	0.001	0.168
-166	TARA	ERR318621	MS	0.002	0	0	0.001	0.001	0	0	0	0	0.006	0.001	0.001	0.001	0.002	0.16	0.001	0.172
-167	TARA	ERR318618	MS	0.002	0	0	0.001	0	0	0	0	0	0.002	0	0	0.001	0.001	0.068	0	0.073
-168	TARA	ERR594317	MS	0.002	0	0	0.001	0	0	0	0	0	0.003	0	0	0	0.001	0.221	0.001	0.227
-169	TARA	ERR318620	MS	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0.001	0.001	0.061	0	0.066
-170	TARA	ERR598951	MS	0.001	0	0	0	0.001	0	0	0	0	0.004	0.001	0.001	0.001	0.001	0.689	0.003	0.699
-171	TARA	ERR594288	MS	0.001	0	0	0	0.001	0	0	0	0	0.003	0	0	0	0.001	0.234	0.001	0.24
-172	TARA	ERR594316	MS	0.001	0	0	0	0.001	0	0	0	0	0.003	0	0	0	0.001	0.22	0.001	0.226
-173	TARA	ERR599153	MS	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0.001	0.051	0	0.055
-174	TARA	ERR599043	MS	0.001	0	0	0	0	0	0	0	0	0.003	0.001	0.001	0.001	0.001	0.627	0.003	0.637
-175	TARA	ERR599094	MS	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0.001	0.049	0	0.053
-176	TARA	ERR594315	MS	0.001	0	0	0	0.001	0	0	0	0	0.003	0	0	0	0.001	0.022	0.001	0.027
-177	TARA	ERR594329	MS	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.021	0.001	0.026
-178	TARA	ERR599073	MS	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.041	0	0.046
-179	TARA	ERR599092	MS	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.039	0	0.043
-180	TARA	ERR599140	MS	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.046	0	0.05
-181	TARA	ERR598993	MS	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.042	0	0.047
-182	TARA	ERR599067	NPO	0.002	0.001	0.001	0.001	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.003
-183	TARA	ERR598971	NPO	0.002	0	0.001	0.001	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.003
-184	TARA	ERR599115	NPO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0.001	0.001	0.001	0.002	0	0.006
-185	TARA	ERR598997	NPO	0.001	0	0	0	0	0	0	0	0	0.003	0	0	0	0.001	0.001	0.002	0.007
-186	TARA	ERR599118	NPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.007
-187	TARA	ERR599108	NPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.007
-188	TARA	ERR599065	NPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.007
-189	TARA	ERR598952	NPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.007
-190	TARA	ERR599052	NPO	0.001	0	0	0	0	0	0	0	0	0.003	0.001	0.001	0	0.001	0.334	0.001	0.341
-191	TARA	ERR598980	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.002
-192	TARA	ERR599142	NPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.003	0	0.007
-193	TARA	ERR599152	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-194	TARA	ERR599051	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-195	TARA	ERR599015	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-196	TARA	ERR599076	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-197	TARA	ERR599004	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-198	TARA	ERR599060	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-199	TARA	ERR599127	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-200	TARA	ERR598989	NPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.001	0.005
-201	TARA	ERR599175	NPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-202	TARA	ERR598942	NPO	0	0	0	0	0	0	0	0	0	0.003	0.001	0.001	0	0.007	0.091	0.001	0.104
-203	TARA	ERR599162	NPO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0.001	0.002	0.006
-204	TARA	ERR599030	NPO	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-205	TARA	ERR599070	NPO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-206	TARA	ERR599147	NPO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-207	TARA	ERR599099	NPO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-208	TARA	ERR598987	NPO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-209	TARA	ERR598995	NPO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-210	TARA	ERR599087	NPO	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0.003
-211	TARA	ERR599072	SPO	0.009	0.003	0.004	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-212	TARA	ERR599132	SPO	0.002	0.001	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-213	TARA	ERR599055	SPO	0.002	0.001	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-214	TARA	ERR599128	SPO	0.002	0.001	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-215	TARA	ERR599086	SPO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-216	TARA	ERR599096	SPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-217	TARA	ERR599020	SPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.004
-218	TARA	ERR598957	SPO	0.001	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.003
-219	TARA	ERR599071	SPO	0.001	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002
-220	TARA	ERR599033	SPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-221	TARA	ERR598999	SPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
-222	TARA	ERR599083	SPO	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.003
